FID	IID	PRS
ind1	ind1	-600
ind2	ind2	-599
ind3	ind3	-598
ind4	ind4	-597
ind5	ind5	-596
ind6	ind6	-595
ind7	ind7	-594
ind8	ind8	-593
ind9	ind9	-592
ind10	ind10	-591
ind11	ind11	-590
ind12	ind12	-589
ind13	ind13	-588
ind14	ind14	-587
ind15	ind15	-586
ind16	ind16	-585
ind17	ind17	-584
ind18	ind18	-583
ind19	ind19	-582
ind20	ind20	-581
ind21	ind21	-580
ind22	ind22	-579
ind23	ind23	-578
ind24	ind24	-577
ind25	ind25	-576
ind26	ind26	-575
ind27	ind27	-574
ind28	ind28	-573
ind29	ind29	-572
ind30	ind30	-571
ind31	ind31	-570
ind32	ind32	-569
ind33	ind33	-568
ind34	ind34	-567
ind35	ind35	-566
ind36	ind36	-565
ind37	ind37	-564
ind38	ind38	-563
ind39	ind39	-562
ind40	ind40	-561
ind41	ind41	-560
ind42	ind42	-559
ind43	ind43	-558
ind44	ind44	-557
ind45	ind45	-556
ind46	ind46	-555
ind47	ind47	-554
ind48	ind48	-553
ind49	ind49	-552
ind50	ind50	-551
ind51	ind51	-550
ind52	ind52	-549
ind53	ind53	-548
ind54	ind54	-547
ind55	ind55	-546
ind56	ind56	-545
ind57	ind57	-544
ind58	ind58	-543
ind59	ind59	-542
ind60	ind60	-541
ind61	ind61	-540
ind62	ind62	-539
ind63	ind63	-538
ind64	ind64	-537
ind65	ind65	-536
ind66	ind66	-535
ind67	ind67	-534
ind68	ind68	-533
ind69	ind69	-532
ind70	ind70	-531
ind71	ind71	-530
ind72	ind72	-529
ind73	ind73	-528
ind74	ind74	-527
ind75	ind75	-526
ind76	ind76	-525
ind77	ind77	-524
ind78	ind78	-523
ind79	ind79	-522
ind80	ind80	-521
ind81	ind81	-520
ind82	ind82	-519
ind83	ind83	-518
ind84	ind84	-517
ind85	ind85	-516
ind86	ind86	-515
ind87	ind87	-514
ind88	ind88	-513
ind89	ind89	-512
ind90	ind90	-511
ind91	ind91	-510
ind92	ind92	-509
ind93	ind93	-508
ind94	ind94	-507
ind95	ind95	-506
ind96	ind96	-505
ind97	ind97	-504
ind98	ind98	-503
ind99	ind99	-502
ind100	ind100	-501
ind101	ind101	-500
ind102	ind102	-499
ind103	ind103	-498
ind104	ind104	-497
ind105	ind105	-496
ind106	ind106	-495
ind107	ind107	-494
ind108	ind108	-493
ind109	ind109	-492
ind110	ind110	-491
ind111	ind111	-490
ind112	ind112	-489
ind113	ind113	-488
ind114	ind114	-487
ind115	ind115	-486
ind116	ind116	-485
ind117	ind117	-484
ind118	ind118	-483
ind119	ind119	-482
ind120	ind120	-481
ind121	ind121	-480
ind122	ind122	-479
ind123	ind123	-478
ind124	ind124	-477
ind125	ind125	-476
ind126	ind126	-475
ind127	ind127	-474
ind128	ind128	-473
ind129	ind129	-472
ind130	ind130	-471
ind131	ind131	-470
ind132	ind132	-469
ind133	ind133	-468
ind134	ind134	-467
ind135	ind135	-466
ind136	ind136	-465
ind137	ind137	-464
ind138	ind138	-463
ind139	ind139	-462
ind140	ind140	-461
ind141	ind141	-460
ind142	ind142	-459
ind143	ind143	-458
ind144	ind144	-457
ind145	ind145	-456
ind146	ind146	-455
ind147	ind147	-454
ind148	ind148	-453
ind149	ind149	-452
ind150	ind150	-451
ind151	ind151	-450
ind152	ind152	-449
ind153	ind153	-448
ind154	ind154	-447
ind155	ind155	-446
ind156	ind156	-445
ind157	ind157	-444
ind158	ind158	-443
ind159	ind159	-442
ind160	ind160	-441
ind161	ind161	-440
ind162	ind162	-439
ind163	ind163	-438
ind164	ind164	-437
ind165	ind165	-436
ind166	ind166	-435
ind167	ind167	-434
ind168	ind168	-433
ind169	ind169	-432
ind170	ind170	-431
ind171	ind171	-430
ind172	ind172	-429
ind173	ind173	-428
ind174	ind174	-427
ind175	ind175	-426
ind176	ind176	-425
ind177	ind177	-424
ind178	ind178	-423
ind179	ind179	-422
ind180	ind180	-421
ind181	ind181	-420
ind182	ind182	-419
ind183	ind183	-418
ind184	ind184	-417
ind185	ind185	-416
ind186	ind186	-415
ind187	ind187	-414
ind188	ind188	-413
ind189	ind189	-412
ind190	ind190	-411
